comp_id,smiles
CHEMBL192183,N=C(N)NCCC[C@@H]1NC(=O)[C@@H]2C[C@@H](N=C(N)N)CN2C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O
CHEMBL192368,N=C(N)NCCCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC1=O
CHEMBL192685,C[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC1=O
CHEMBL192913,N=C(N)NCCC[C@H]1NC(=O)[C@H](NC(=O)CCNC(=N)N)CSSC[C@@H](C(N)=O)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC1=O
CHEMBL193217,N=C(N)NCCC[C@@H]1NC(=O)[C@H](CCN=C(N)N)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O
CHEMBL1949675,CC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C
CHEMBL1949730,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=N)N
CHEMBL1949731,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCN
CHEMBL1949732,CC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C
CHEMBL1949733,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=O)CCCC(N)=O
CHEMBL1949734,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=O)CCCC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C
CHEMBL1949735,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=O)CCCC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C
CHEMBL1949736,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=O)CCC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C
CHEMBL1949737,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=O)CCCCC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C
CHEMBL1949738,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=O)CCCCCCC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C
CHEMBL1949739,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=O)CCCCCCCCC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C
CHEMBL1949740,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCNC(=O)CCCCCCCCCCCC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C
